"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LOUIS XIV A LA CONQUETE DES PAYS-BAS ESPAGNOLS";"LA GUERRE OUBLIEE  1678 - 1684";"JEANMOUGIN  Bertrand ";"1";"1";"acheté neuf 190 fr en 2005";"";"2005    ";"PARIS / ED. ECONOMICA";"CAMPAGNES ET STRATEGIES";"239";"15.5 x 24";"BROCHE / NEUF / EXCELLENT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS  / DIPLOMATIE";"LOUIS XIV /  SIEGE DE LUXEMBOURG / ";"GUERRE FRANCO-ESPAGNOLE SOUS LOUIS XIV";"PAYS-BAS ESPAGNOLS ";"";"";"";"";"";"2005    ";"250";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"CARTES  :   ++";"BIBLIOGRAPHIE  ++++";"INDEX NOMS ET LIEUX ++++";"EXCELLENT OUVRAGE DE CETTE EXCELLENTE COLLECTION MODERNE  (  CAMPAGNES ET STRATEGIES )  qui presente 
de nombreuses monographies sur les batailles de l'ancien régime qui faisaient cruellement défaut jusqu'à présent . 

CLAIR / NET /  PRECIS 

Plusieurs cartes en N et blanc

BIBLIOGRAPHIE TRES COMPLETE  /  INDEX DES NOMS 

A la fin de l'ouvrage , LISTE DES LIVRES DE LA COLLECTION . ";"";"";"";"";"";"";"";"";"";""
" LES MOTS HISTORIQUES DU PAYS DE FRANCE ";"";"JOB / TROGAN  E. ";"1";"1";"";"";"1927    ";"TOURS /  MAMES  EDITEUR ";"";"110";"26  x  33";"RELIE  /  ETAT  D USAGE ";"F 8";"";"";"";"";"";"";"";"";"";"";"";"";"2017    ";"350";"Cadeau  Yves / ML  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"";"";"";"OUVRAGE  PATRIOTIQUE    PARTICIPANT A L EDUCATION DES JEUNES AU FAMEUX   ROMAN NATIONAL
TANT DECRIE PAR NOS :coma: INTELLECTUELS :coma:   MODERNES .........

CEZS MOTS   COUVRANT LA PERIODE ALLANT DE CHARLEMAGNE  A LA GUERRE DE 14  .

Les :coma: mots Historiques :coma:  sont remis dans leur contexte et surtout illustres  par une splendide planche de JOB  .  COULEUR ET NOIR ET BLANC .

EXCELLENT  BOUQUIN   QUI ME FUT DONNE PAR YVES   APRES LE DECES DE S A MERE  ,  EN ETE 2017  ( Dans la bibliothèque de laquelle il se trouvait )

COTE :  quelque srecherches sur Internet m'ont permis de voir que ce bouquin va de 40 à 70 E  en gros , certainement suivant l'état . Je mets celui-ci à 50  soit env.  350 Fr ";"";"";"";"";"";"";"";"";"";""
"EN MARCHANT AVEC LES SOLDATS DE FRANCE";"";"JOUBERT  Pierre";"1";"1";"acheté neuf 150 fr  vers 1990";"";"1985    ";"AVIGNON / Ed";" de l'Orme Rond";"";"112";"22.5 x 30";"RELIE CARTON / EXCELLENT ";"A 2";"";"";"";"CHANSONS";"CHANSONS MILITAIRES FRANCAISES ";"";"";"";"";"";"";"";"1985    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"";"";"";"LIVRE MODERNE RELIE CARTONNE . 
LIVRE TRES PRECIEUX . 

RECUEIL DE CHANSONS MILITAIRES FRANCAISES DU MOYEN AGE A NOS JOURS . 

Chaque chanson est présentée sur une page ou deux , avec son texte complet , sa musique , et une illustration sous forme de dessins noir et blanc DONT CERTAINS SONT EXCELLENTS .

Ce livre présente PLUS DE 100  CHANSONS  .  ";"";"";"";"";"";"";"";"";"";""
"ORAGES D' ACIER ";"";"JUNGER  Ernst ";"1";"1";"acheté  neuf env 40 fr  vers 2009";"";"2009    ";"PARIS / LIVRE DE POCHE";"LIVRE DE POCHE ";"381";"11 X 17.5 ";"BROCHE  / NEUF / EXCELLENT";"C 1";"";"";"GUERRE  1914 -  1918";"MEMOIRES  / SOUVENIRS";"GRANDE GUERRE /  GUERRE 14 - 18";"";"";"";"";"";"";"";"2009    ";"20";"BIBL MUSEE DE L'ARMEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"REEDITION RECENTE  EN LIVRE DE POCHE DE CE BOUQUIN PARAIT IL EXCELLENT SUR LA GUERRE DE 14  ECRIT PAR UN OPFFICIER ALLEMAND .

SANS ILLUSTR NI CARTE   ";"";"";"";"";"";"";"";"";"";""
"10° REGT DE CUIRASSIERS , HISTORIQUE ";"";"JUZANCOURT  Commandant de --";"1";"1";"";"";"";"";"";"0";"";"";"G 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"HISTORIQUE DU REGIMENT  DE 1643 A 1891

VOIR FICHE A CE TITRE EN SERIE  HMRE";"";"";"";"";"";"";"";"";"";""
"LE LIEUTENANT ASCH DANS LA DEBACLE";"";"KIRST H.H.";"1";"1";"acheté neuf 7 ou 8 fr années 70";"30";"1955    ";"PARIS / ROBERT LAFFONT";"J'AI LU Leur aventure ";"441";"11.5 X 16.5";"BROCHE / BON ETAT";"C 1";"";"";"GUERRE  39 - 45";"ROMAN  HISTORIQUE";"";"";"";"";"";"";"";"";"1972    ";"10";"lIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROMAN DE GUERRE   :  TRES INTERESSANT :  
RELATE LES DERNIERS COMBATS D'UN LIEUTENANT ET DE SES HOMMES AU PRINTEMPS 45 EN RHENANIE ";"";"";"";"";"";"";"";"";"";""
"LA CHRONIQUE DE FROESCHWILLER ";"SCENES VECUES";"KLEIN  C.";"1";"1";"acheté neuf environ 100fr  années 80";"150";"1987    ";"PONT A MOUSSON /  ED. INFO-EST";"";"360";"11.5 X 18";"BORCHE / NEUF/ EXCELLENT";"D 1";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"ANECDOTES / SCENES VECUES ";"WISSEMBOURG / FROESCHWILLER /";"";"";"";"";"";"";"";"1987    ";"100";"MUSEE DE WOERTH";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"CARTE    +";"";"";"EXCELLENT OUVRAGE SUR LE COMBAT DE WISSEMBOURG ET LA BATAILLE DE FROESCHWILLER  AU DEBUT DE LA 
GUERRE DE 1870

CET  OUVRAGE EST UN RECUEIL D'ANECDOTES VECUES LORS DE CES DEUX OPERATIONS CAPITALES 
C' EST DU VECU  !!!!
NOMBREUX DESSINS N ET BLANC DANS LE TEXTE , LA PLUPART TRES INTERESSANTS ";" 
A LA FIN , QUELQUES PHOTOS D'EPOQUE DES SITES ET MAISONS ET COMPARAISONS AVEC LES MEMES AUJOURD'HUI

1 CARTE GENERALE DE LA BATAILLE A LA FIN DU LIVRE ( mais qui est plus là pour l'orientation , cet ouvrage n'étant pas fait pour étudier la bataille proprement dite dans ses détails militaires )  . ";"";"";"";"";"";"";"";"";"";""
"LA GUERRE AU MOYEN - AGE";"";"KOCH   H.W.";"1";"1";"acheté neuf en solde 120 fr ";" prix normal  400 fr ";"500";"1980    ";"PARIS / FERNAND NATHAN";"";"256";"24 X 31.5";"RELIE / NEUF / EXCELLENT";"A 2";"";"";"OUVRAGE GENERAL";"";"GUERRE AU MOYEN- AGE ";"";"";"";"";"";"";"";"1985    ";"100";"LIBRAIRIE  ?  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES ++";"";"INDEX DES NOMS ET LIEUX  +++";"BEAU LIVRE   STYLE LIVRE D ART 

LA GUERE AU MOYEN AGE SOUS TOUS SES ASPECTS     FORTIFICATIONS ARMEMENTS 
TECHNIQUES DE COMBAT  MATERIELS   ETC...

INNOMBRABLES ILLUSTRATIONS  ( essentiellement gravures d'époque  , dont le cinquième environ en 
couleur )  . 
INDEX DES NOMS ET LIEUX   /   CARTES SUR LES BATAILLES LES PLUS IMPORTANTES ";"";"";"";"";"";"";"";"";"";""
"VAUBAN  AGENDA  ";"";"KODAK";"1";"1";"";"";"";"KODAK";"";"0";"";"";"J 6 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"";"";"";"IL S AGIT D UN AGENDA  MAIS DONT CHAQUE PAGE COMPORTE EN REGARD UNE MAGNIFIQUE VUE AERIENNE DUNE DES FORTERESSES DE VAUBAN . 

IL Y EN A PEU PRES TRENTE .   INTERESSANT POUR CES PHOTOS .  Valeur amrchande nulle 
";"";"";"";"";"";"";"";"";"";""
"LES VAGABONDS DE LA GLOIRE";"";"LACHOUQUE  Commandant Henry ---";"1";"1";"acheté neuf env 100 fr à LCV  vers 2002";"100";"1980    ";"PARIS / COPERNIC";"";"244";"15 X 22";"BROCHE / NEUF / T BON ETAT";"H 5";"";"";"";"BIOGRAPHIES / ANECDOTES";"LA BIGORNE / MADEC / ";"LECLERC dit MILFORT / ";"MONSIEUR BOUTIN / LE COLONEL SOURD";"LE COLONEL DUPIN";"";"";"";"";"2002    ";"100";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 HISTORIETTES ECRITES SUR 6 HEROS PAR LE CELEBRE ECRIVAIN MILITAIRE . 

Chaque histoire fait une soixantaine de pages  .  Il y en a une concernant le 1er EMPIRE , celle du 
COLONEL SOURD  ( commandant 1 régiment de Lnaciers pendant la ccampagne de 1815 ) . 
Une autre sous le second  Empire , celle du COLONEL DU PIN . sa carrière commence sous la Restauration . Guerres en ALGERIE  ensuite , MEXIQUE  ET CRIMEE 
Mr BOUTIN  .  Officier du Génie  , Diplomate et Espion en même temps  ";"  missions sous le Ier Empire  ( Algérie , Istanbul ) . 
Les 3 autres se passent sous l'Ancien Régime  :   LA BIGORNE  /  MADEC /  MONSIEUR BOUTIN  /
                                                                              LECLERC dit MILFORT 

TRES INTERESSANT  /   SANS ILLUSTR. NI CARTE ";"";"";"";"";"";"";"";"";"";""
"LE SECOND EMPIRE";"";"LAMY  Etienne";"1";"1";"acheté vente ench BIBL HENRI MAIRE 50 fr en 2009";"";"1895    ";"PARIS / CALMANN-LEVY";"";"484";"14.5 X 23";"RELIE / PARFAIT ETAT ";"D 2";"";"";"SECOND EMPIRE ";"ETUDE GENERALE";"";"";"";"";"";"";"";"";"2009    ";"100";"VENTE ENCH. HENRI MAIRE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"HISTOIRE GENERALE ET MILITAIRE DU SECOND EMPIRE 

je ne l'ia aps encore lu 

EX LIBRIS  BIBL  COMMANDANT GRAND /  ENVOI AUTOGRAPHE DE L AUTEUR 

COTE : j'ai acheté ce bouqin à vil prix lors de la vente aux enchères de la BIBL HENRI MAIRE ( 7° vente , novembre 2009 , voir relation au titre  :coma:  Récits de Guerre par le Général BRUNEAU  :coma:
Mais il vaut certeainement beaucoup plus . ";"";"";"";"";"";"";"";"";"";""
"VIE MILITAIRE EN PRUSSE ";"";"LANDE  Jack ";"1";"2";"";"";"";"COULOMMIERS / IMPR. MOUSSIN ";"";"200";"18  X  12";"RELIE  /  ETAT D USAGE ";"D5 bis ";"";"";"";"";"";"";"";"";"";"";"";"";"2010    ";"30";"BROCANTE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"CURIEUX OUVRAGE FAIT DE DEUX PETITS VOLUMES RELIES . IL DOIT VENIR D UNE BROCANTE . 

JE NE L AI PAS ENCORE LU .  IL SEMBLE DECRIRE LA VIE DE MILITAIRES DANS UN QUARTIER EN PRUSSE A L EPOQUE A PEU PRES SECOND EMPIRE . 

IL N Y A PAS DE PAGES DE GARDE   DONC ON NE CONNAIT PAS L EDITEUR NI LA DATE  ET L ON A AUCUN RENSEIGNEMENT SUR LE CONTENU .  IL EST PROBABLE QUE CELA SE TROUVE SUR LE TOME 1  . 
EN EFFET  LOUVRAGE A 3 TOMES APPAREMMENT  PUISQUE LES DEUX QUE J' AI S' INTITULENT  2  ET  3 

C'est un ouvrage mineur que je range pour le moment en D5bis , pour :coma: prendre la place d'un bouquin de G. LENOTRE ( :coma: SOUS LE BONNET ROUGE:coma:  )  que j'ai égaré pour le moment  . Sans doute prêté à ML  ou à Flopi , ou se trouve à Arbois . A rechercher .  ";"";"";"";"";"";"";"";"";"";""
"LE MARECHAL DE CREQUY";"";"LANOUVELLE    E.de  --";"1";"1";"acheté 60 fr chez un bouqu";" vers 1985";"150";"1931    ";"PARIS / TALLANDIER";"";"321";"13.5 x 21";"BROCHE / BON ETAT";"D 1";"";"";"ANCIEN REGIME ";"BIOGRAPHIE /  OPERATIONS";"MARECHAL DE CREQUY /  ";"CAMPAGNES DE LOUIS XIV /";"";"";"";"";"";"";"1985    ";"70";"BOUQU.   ALLEREY";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"CARTE    +";"";"";"EXCELLENTE BIOGRAPHIE  ESSENTIELLEMENT MILITAIRE DE CE GRAND PERSONNAGE ";" 

LE MARECHAL DE CREQUY S'EST SURTOUT ILLUSTRE  PENDANT LES CAMPAGNES DE LA PREMIERE PARTIE DU REGNE 
DE LOUIS  XIV  ( jusque vers 1680 ) 

QQ ILLUSTR. N ET BLANC  / QQ CARTES  /  1 ARBRE GENEAL. DE LA FAMILLE DE CREQUY";"";"";"";"";"";"";"";"";"";""
"MA GRANDE GUERRE ";"";"LAVY  Gaston";"1";"1";"170 fr  neuf en 2008 ( cadeau de Noel ) ";"";"2008    ";"PARIS / LAROUSSE ";"";"330";"20 X 25";"BROCHE  / NEUF / EXCELLENT";"C 3";"";"";"GUERRE  1914 -  1918";"SOUVENIRS ";"JOURNAL D' UN POILU DE 14 - 18";"";"";"";"";"";"";"";"2008    ";"150";"CADEAU  NOEL ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"";"";"";"IL S AGIT DU JOURNAL D UN COMBATTANT DE LA GRANDE GUERRE QUI RESTA PRESQUE TOUTE LA GUERRE  DEUXIEME CLASSE / IL NE DEVINT CAPORAL  QU EN 1918  . 
RECIT TRES CONSEQUENT PRESENTE EN ECRITURE DE CAHIER  ET AGREMENTE DES DESSINS QUE FAISAIT  L AUTEUR A SES MOMENTS PERDUS 
DESSINS COULEURS  ( un pratiquement à chaque page ) STYLE UN PEU NAIF OU ENFANTIN  MAIS TRES INTERESSANTS PARCE QUE DECRIVANT LA VIE COURANTE . 

TRES INTERESSANT 

OFFET COMME CADEAU DE NOEL 2008 PAR ML ";"";"";"";"";"";"";"";"";"";""
"HISTOIRE DE LA SECONDE GUERRE MONDIALE ";"";"LE BRUN  Charles ";"1";"1";"acheté neuf 2E  ( 13 Fr ) ";"";"2004    ";"BRODARD ET TAUPIN ";"MAXI POCHE ";"316";"11 X 18";"BROCHE  / NEUF / EXCELLENT";"C 1";"";"";"SECONDE GUERRE MONDIALE ";"ETUDE";"";"";"";"";"";"";"";"";"2010    ";"10";"?";"";"";"";"";"";"";"";"";"";"";"";"";"";"JE NE L AI PAS ENCORE LU MAIS SEMBLE ETRE UN BON RESUME POUR QUELQU UBN QUI ABORDE ( ou qui ré-aborde )  LA QUESTION 

SANS ILLUSTR. NI CARTE ";"";"";"";"";"";"";"";"";"";""
"PROCES DU MARECHAL BAZAINE ";"";"LE FAURE  Amédée";"1";"1";"acheté 50 fr chez un bouqu  années 80";"";"1874    ";"PARIS / GARNIER FRERES ED.";"";"380";"21 X 30";"BROCHE / TRES MAUVAIS ETAT ";"C 3";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"EVENEMENT";"PROCES DE BAZAINE / ARMEE DE METZ";"";"";"";"";"";"";"";"1985    ";"50";"BOUQU. ( Allerey ou Nancy ? ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"";"";"";"CE LIVRE N'EST AUTRE QUE LA COMPILATION DES AUDIENCES,    REQUISITOIRES, PLAIDOIRIES ET JUGEMENT 
DU PROCES DE CE CELEBRE MARECHAL ,  A QUI L' ON ATTTRIBUE LA RESPONSABILITE DE LA DEFAITE  DE 1870  .

Je ne l'ai pas encore lu à cause de son etat lamentable ";" il faudrait que je le recolle et le relie avant ";"  mais semble du plus grand intérêt  . 

QQ illustr   ( dessins n et blanc ) dans le texte  .   ";"";"";"";"";"";"";"";"";"";""
"DIXMUDE";"";"LE GOFFIC    Charles ";"1";"1";"acheté 40 fr chez un bouqu. années 80";"80";"1916    ";"PARIS / PLON";"";"270";"12 X 19";"BROCHE / ETAT CORRECT";"C 5";"";"";"GUERRE 14 - 18";"OPERATIONS";"DIXMUDE / 1914 / FUSILIERS MARINS ";"";"";"";"";"";"";"";"1985    ";"80";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++";"CARTES  ++";"";"";"TRES INTERESSANT OUVRAGE SUR LA BATAILLE DE DIXMUDE  :  7 octobre - 10 novembre 1914

Le sous titre de l'ouvrage est :  UN CHAPITRE DE L' HISTOIRE DES FUSILIERS MARINS .

RELATION PRECISE DE CETTE BATAILLE  . 
NOMBREUSES ILLUSTR.  N et blanc  très intéressantes  /  2 CARTES  A LA FIN   ";"";"";"";"";"";"";"";"";"";""
"GUERRE FRANCO-ALLEMANDE EN 1870-1871";"RELATION HISTORIQUE ET CRITIQUE";"LECOMTE   Colonel Ferdinand --";"1";"1";"acheté 80 fr chez un bouqu";" années 80";"";"1872    ";"PARIS / TANERA ED.";"";"1000";"16.5 X 24.5";"BROCHE  / MEDIOCRE";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"WISSEMBOURG  / FORBACH / FROESCHWILLER ";"BORNY / REZONVILLE / METZ / GRAVELOTTE /";"SAINT-PRIVAT /  SEDAN ";"";"";"";"";"";"1985    ";"100";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"";"CARTES  +++";"";"";"OUVRAGE ASSEZ COMPLET ET TECHNIQUE ET CERTAINEMENT ASSEZ IMPARTIAL CAR ECRIT PAR UN COLONEL 
DE L'ARMEE SUISSE  ";" 

JE N' AI QUE LES DEUX PREMIERS TOMES,  QUI COUVRENT LA PREMIERE ET ESSENTIELLE PHASE DE LA GUERRE 
JUSQUA SEDAN INCLUS  Il manque donc les opérations des armées de secours et du siège de Paris c'est -à-dire en gros celles de 1871  . 

sans illustr :  plusieurs cartes";"";"";"";"";"";"";"";"";"";""
"LECLERC";"";"LEGRAND  Jacques ";"0";"1";"acheté 15 fr sur un e brocante en 2010";"";"1997    ";"SELECTION DU READER' S DIGEST ";"";"128";"19.5 X 24.5";"RELIE CARTONNE / NEUF / EXCELLENT";"C 3";"";"";"GUERRE  39 - 45";"BIOGRAPHIE /  OPERATIONS";"MARECHAL LECLERC ";"";"";"";"";"";"";"";"2010    ";"15";"BROCANTE ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"CARTES  :   ++";"";"";"BOUQUIN QUI SEMBLE EXXCELLENT SUR LA VIE DE CE GRAND MILITAIRE FRANCAIS 

SE PRESENTE NON PAS SOUS FORME D UN TEXTE  ININTERROMPU MAIS PLUTOT COMME UNE SUCCESSIONS DE PAGES DE JOURNAUX AVEC BEAUCOUP DILLUSTR N ET BLANC  DECRIVANT SA VIE DANS UN ORDRE CHRONOLOGIQUE TOUT DE MEME 

TRE SINTERESSANT ";"";"";"";"";"";"";"";"";"";""
"LE GRAND CONDE ";"LES GRANDES DESTINEES";"LEOMY Fabrice";"1";"1";"acheté neuf 79 fr en 1994";"100";"1994    ";"PARIS/ SOCOMER";"LES GRANDES DESTINEES";"70";"16.5 X 24";"BROCHE / NEUF / EXCELLENT";"D 1";"";"";"ANCIEN REGIME ";"BIOGRAPHIE / OPERATIONS";"GRAND CONDE / GUERRE DE TRENTE ANS / LA FRONDE ";"ROCROI / SIEGE DE THIONVILLE 1643 / ";" FRIBOURG 1644 / BAT. DE NORDLINGEN 1645";"PRISE DE DUNKERQUE / SIEGE DE LERIDA / ";"BATAILLE DE LENS / MAYENCE 1644 /";"PASSAGE DU RHIN A TOLHUIS 1672 / ";"BATAILLE DES DUNES ";"";"1994    ";"40";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"";"BIBLIOGRAPHIE +++";"";"BIOGRAPHIE RESUMEE ( 70 p )  MAIS TOUT DE MEME ASSEZ PRECISE DU GRAND CONDE

TRES INTERESSANT

NOMBREUSES ILLUSTR. DONT BEAUCOUP EN COULEUR /  BIBLIOGRAPHIE ASSEZ SERIEUSE ";"";"";"";"";"";"";"";"";"";""
"DENAIN 1712 ";"LOUIS XIV SAUVE SA MISE";"LESAGE Gerard";"1";"1";"acheté neuf 125 fr  en 1992";"150";"2000    ";"PARIS / ED. ECONOMICA";"CAMPAGNES ET STRATEGIES";"167";"15.5 X 24";"BROCHE / NEUF / EXCELLENT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS";"GUERRE DE SUCCESSION D'ESPAGNE /";"MARECHAL DE VILLARS /  LANDRECIES ";"";"";"";"";"";"";"2000    ";"100";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"CARTES  +++";"BIBLIOGRAPHIE  ++++";"";"EXCELLENT OUVRAGE MODERNE QUI FAIT LE POINT LE PLUS COMPLET POSSIBLE SUR CETTE BATAILLE 

ON SAIT QUE LES DOCUMENTS OU OUVRAGES SONT MINCES SUR CES BATAILLES DE L'ANCIEN REGIME  :  IL EST DONC PRECIEUX DE
DISPOSER D'UN TEL OUVRAGE  ";""
"

QQ ILLUSTR. ET QQ CARTES EN N ET BLANC DE ASSEZ A TRES INTERESSANTES 

BIBLIOGRAPHIE LA PLUS COMPLETE POSSIBLE";"";"";"";"";"";"";"";"";"";""
"GUERRE  DE  1866 EN ALLEMAGNE ET ITALIE";"";"LIBRAIRIE MILITAIRE DE BRUXELLES ";"1";"1";"DONNE  ( Fr  Gaerminck /coll. AZAN )";"";"1886    ";"BRUXELLES / LIBRAIRIE MILITAIRE MUQUARDT";"BIBL. INTERNAT. HIST. MILITAIRE";"390";"13 X 19";"RELIE / BON ETAT";"E 3";"";"";"";"OPERATIONS";"SADOWA  /   CUSTOZZA";"GUERRE PRUSSO- AUTRICHIENNE  ";"";"";"";"";"";"";"1980    ";"400";"COLLEC.  AZAN ";"";"";"";"";"";"";"";"";"";"";"CARTES +";"";"";"OUVRAGE N° 22  DE LA SERIE  BIBLIOTHEQUE INTERNATIONALE D HISTOIRE MILITAIRE  PUBLIEE PAR LA LIBRAIRIE MILITAIRE DE BRUXELLES .

VOIR COMMENTAIRE/ ANALYSE  SUR CETTE SERIE AU TITRE  :coma:  CAMPAGNE DE 1796 ET 1797  EN
ITALIE ET EN ALLEMAGNE  :coma:    EN SERIE  HMRE

Cet exemplaire porte le signature du Général Azan  en 1ère page de garde d'où ssurcote . Je lui attribue une valeur de revente potentielle de 400  fr   ";"";"";"";"";"";"";"";"";"";""
"CAMPAGNES DE GUSTAVE-ADOLPHE";"EN ALLEMAGNE  1630-1632";"LIBRAIRIE MILITAIRE DE BRUXELLES ";"1";"1";"DONNE  ( Fr  Gaerminck /coll. AZAN )";"";"1887    ";"BRUXELLES / LIBRAIRIE MILITAIRE MUQUARDT";"BIBL. INTERNAT. HIST. MILITAIRE";"216";"13 X 19";"RELIE / BON ETAT";"E 3";"";"";"";"OPERATIONS";"GUSTAVE ADOLPHE";"CAMPAGNE DE 1630 - 1632  EN ALLEMAGNE";"";"";"";"";"";"";"1980    ";"400";"COLLEC.  AZAN ";"";"";"";"";"";"";"";"";"";"";"CARTES +";"BIBLIOGRAPHIE  ++++";"";"CET OUVRAGE EST LE N° 1 D UNE SERIE DE LIVRES TRAITANT DE L HISTOIRE MILITAIRE DE DIFFERENTS PAYS DEPUIS CE MOMENT JUSQU AU SECOND EMPIRE .
J' AI  6 VOLUMES DE CETTE SERIE 

VOIR ANALYSE DE CES OUVRAGES AU TITRE :coma:  CAMPAGNES DE 1796  1797 EN ITALIE ET EN ALLEMAGNE  :coma:    EN SERIE  HMRE  .

Cet ouvrage porte la signature du Général AZAN en première page de garde d'où une surcote . J'estime 
le prix de cet ouvrage ( totalement au hasard je dois le dire car je n'ai aucune référence , ne les ayant jamais vu passer en catalogue )  à  400  fr";"";"";"";"";"";"";"";"";"";""
"CAMPAGNE DE 1859  EN ITALIE";"";"LIBRAIRIE MILITAIRE DE BRUXELLES  ";"1";"1";"DONNE  ( Fr  Gaerminck /coll. AZAN )";"";"1887    ";"BRUXELLES / LIBRAIRIE MILITAIRE MUQUARDT";"BIBL. INTERNAT. HIST. MILITAIRE";"297";"13 X 19";"RELIE / BON ETAT";"E 3";"";"";"";"OPERATIONS";"MAGENTA  /  SOLFERINO  / ";"MAC-MAHON  / CANROBERT ";"TRAITE DE VILLAFRANCA ";"";"";"";"";"";"1980    ";"400";"COLLEC.  AZAN ";"";"";"";"";"";"";"";"";"";"";"CARTES +";"";"";"OUVRAGE N° 29  DE CETTE TR7S INTERESSANTE SERIE DE LA:coma: BIBLIOTHEQUE INTERNATIONALE D HISTOIRE MILITAIRE :coma: ,  PUBLIEE PAR LA LIBRAIRIE MILITAIRE DE BRUXELLES 

VOIR COMMENTAIRE / ANANLYSE  SUR CETTE SERIE AU TITRE  :coma:  CAMPAGNES DE 1796 ET 1797 
EN ITALIE ET EN ALLEMAGNE  :coma:        EN SERIE  HMRE

cet ouvrage porte la signature du Géénral AZAN  en première page de garde d'ou surcote : je l'évalue donc à  environ 400 fr ";"";"";"";"";"";"";"";"";"";""
"CAMPAGNES DE TURENNE  1644 -  1675";"";"LIBRAIRIE MILITAIRE DE BRUXELLES ";"1";"1";"DONNE  ( Fr  Gaerminck /coll. AZAN )";"";"1888    ";"BRUXELLES / LIBRAIRIE MILITAIRE MUQUARDT";"BIBL. INTERNAT. HIST. MILITAIRE";"375";"13 X 19";"RELIE / BON ETAT";"E 3";"";"";"";"OPERATIONS";"TURENNE";"CAMPAGNES DE 1644  A  1675";"GUERRE DE 30 ANS / PALATINAT /";"FRIBOURG/ MERGENTHEIM / NORDLINGEN";"RETHEL / ARRAS / DUNKERQUE / ";"LES DUNES  / TURCKHEIM";"";"";"1980    ";"400";"COLLEC.  AZAN ";"";"";"";"";"";"";"";"";"";"";"";"";"";"OUVRAGE N° 2  DE LA SERIE DES LIVRES DE LA  BIBLIOTHEQUE INTERNATIONALE D HISTOIRE MILITAIRE     EDITEE PAR LA LIBR. MILITAIRE DE BRUXELLES . 

VOIR COMMENTAIRE / ANALYSE SUR LES LIVRES DE CETTE SERIE AU TITRE   
:coma:  CAMPAGNES DE 1796 ET 1797 EN ITALIE ET EN ALLEMAGNE :coma:   EN    SERIE HMRE";"";"";"";"";"";"";"";"";"";""
